Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
S.05.01.02,C0010,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0020,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,356 597
S.05.01.02,C0030,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0040,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0050,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0060,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0070,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0080,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0090,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0100,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0110,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0120,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0200,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,356 597
S.05.01.02,C0010,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0020,R0120,Brutto – Reasekuracja czynna proporcjonalna,3
S.05.01.02,C0030,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0040,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0050,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0060,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0070,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0080,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0090,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0100,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0110,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0120,R0120,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0200,R0120,Brutto – Reasekuracja czynna proporcjonalna,3
S.05.01.02,C0130,R0130,Brutto – Reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0140,R0130,Brutto – Reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0150,R0130,Brutto – Reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0160,R0130,Brutto – Reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0200,R0130,Brutto – Reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0010,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0020,R0140,Udział zakładu reasekuracji,23 639
S.05.01.02,C0030,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0040,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0050,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0060,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0070,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0080,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0090,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0100,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0110,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0120,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0130,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0140,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0150,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0160,R0140,Udział zakładu reasekuracji,0
S.05.01.02,C0200,R0140,Udział zakładu reasekuracji,23 639
S.05.01.02,C0010,R0200,Netto,0
S.05.01.02,C0020,R0200,Netto,332 961
S.05.01.02,C0030,R0200,Netto,0
S.05.01.02,C0040,R0200,Netto,0
S.05.01.02,C0050,R0200,Netto,0
S.05.01.02,C0060,R0200,Netto,0
S.05.01.02,C0070,R0200,Netto,0
S.05.01.02,C0080,R0200,Netto,0
S.05.01.02,C0090,R0200,Netto,0
S.05.01.02,C0100,R0200,Netto,0
S.05.01.02,C0110,R0200,Netto,0
S.05.01.02,C0120,R0200,Netto,0
S.05.01.02,C0130,R0200,Netto,0
S.05.01.02,C0140,R0200,Netto,0
S.05.01.02,C0150,R0200,Netto,0
S.05.01.02,C0160,R0200,Netto,0
S.05.01.02,C0200,R0200,Netto,332 961
S.05.01.02,C0010,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0020,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,356 597
S.05.01.02,C0030,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0040,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0050,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0060,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0070,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0080,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0090,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0100,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0110,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0120,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0200,R0210,Brutto – Bezpośrednia działalność ubezpieczeniowa,356 597
S.05.01.02,C0010,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0020,R0220,Brutto – Reasekuracja czynna proporcjonalna,3
S.05.01.02,C0030,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0040,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0050,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0060,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0070,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0080,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0090,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0100,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0110,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0120,R0220,Brutto – Reasekuracja czynna proporcjonalna,0
S.05.01.02,C0200,R0220,Brutto – Reasekuracja czynna proporcjonalna,3
S.05.01.02,C0130,R0230,Brutto – Reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0140,R0230,Brutto – Reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0150,R0230,Brutto – Reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0160,R0230,Brutto – Reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0200,R0230,Brutto – Reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0010,R0240,Udział zakładu reasekuracji,0
S.05.01.02,C0020,R0240,Udział zakładu reasekuracji,23 639
S.05.01.02,C0030,R0240,Udział zakładu reasekuracji,0
S.05.01.02,C0040,R0240,Udział zakładu reasekuracji,0
S.05.01.02,C0050,R0240,Udział zakładu reasekuracji,0
S.05.01.02,C0060,R0240,Udział zakładu reasekuracji,0
S.05.01.02,C0070,R0240,Udział zakładu reasekuracji,0
